"","IDCNTRY","booklet_id","IDSCHOOL","IDCLASS","person_id","ITSEX","dum.fr","dum.eng","dum.hk","dum.kor","dum.qat","dum.nor","dum.twn","ME52024","ME52058A","ME52058B","ME52125","ME52229","ME52063","ME52072","ME52146A","ME52146B","ME52092","ME52046","ME52083","ME52082","ME52161","ME52418A","ME52418B","ME72007","ME72025","ME72017","ME72190","ME72068","ME72076","ME72056","ME72098","ME72103","ME72121","ME72180","ME72198","ME72227","ME72170","ME72209","cont"
"1","FRA","Booklet 01","5001","500108","25050010809","Female",1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1
"2","FRA","Booklet 01","5001","500108","25050010825","Female",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1
"3","FRA","Booklet 01","5002","500203","25050020303","Male",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
"4","FRA","Booklet 01","5002","500203","25050020319","Male",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1
"5","FRA","Booklet 01","5003","500301","25050030108","Male",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
"6","FRA","Booklet 01","5003","500301","25050030124","Female",1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
"7","FRA","Booklet 01","5004","500401","25050040115","Female",1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"8","FRA","Booklet 01","5004","500404","25050040404","Male",1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1
"9","FRA","Booklet 01","5004","500404","25050040420","Male",1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
"10","FRA","Booklet 01","5005","500503","25050050306","Female",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
"11","FRA","Booklet 01","5005","500503","25050050322","Male",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"12","FRA","Booklet 01","5006","500601","25050060105","Female",1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1
"13","FRA","Booklet 01","5006","500601","25050060121","Female",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"14","FRA","Booklet 01","5007","500705","25050070512","Female",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"15","FRA","Booklet 01","5008","500807","25050080716","Male",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"16","FRA","Booklet 01","5009","500901","25050090114","Male",1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1
