"","IDCNTRY","booklet_id","IDSCHOOL","IDCLASS","person_id","ITSEX","dum.fr","dum.eng","dum.hk","dum.kor","dum.qat","dum.nor","dum.twn","ME52024","ME52058A","ME52058B","ME52125","ME52229","ME52063","ME52072","ME52146A","ME52146B","ME52092","ME52046","ME52083","ME52082","ME52161","ME52418A","ME52418B","ME72007","ME72025","ME72017","ME72190","ME72068","ME72076","ME72056","ME72098","ME72103","ME72121","ME72180","ME72198","ME72227","ME72170","ME72209","ME52024t","ME52058At","ME52058Bt","ME52125t","ME52229t","ME52063t","ME52072t","ME52146At","ME52146Bt","ME52092t","ME52046t","ME52083t","ME52082t","ME52161t","ME52418At","ME52418Bt","ME72007t","ME72025t","ME72017t","ME72190t","ME72068t","ME72076t","ME72056t","ME72098t","ME72103t","ME72121t","ME72180t","ME72198t","ME72227t","ME72170t","ME72209t"
"1","FRA","Booklet 01","5001","500108","50010809","Female",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,41.352,86.785,86.785,20.239,40.234,45.574,14.286,137.896,137.896,28.007,50.133,74.337,34.944,46.387,57.74,57.74,48.351,36.758,44.856,48.701,64.869,22.057,122.065,46.497,17.727,35.05,41.36,40.092,69.207,42.265,220.24
"2","FRA","Booklet 01","5001","500108","50010825","Female",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,72.166,113.876,113.876,30.697,96.934,57.23,35.502,178,178,34.583,93.511,97.094,52.573,45.807,254.409,254.409,336.44,65.496,100.423,57.411,47.154,63.477,118.848,128.228,95.442,59.369,75.121,63.569,80.051,49.253,160.462
"3","FRA","Booklet 01","5002","500203","50020303","Male",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,46.582,157.626,157.626,32.782,33.306,83.864,34.305,158.925,158.925,41.309,161.527,193.079,59.49,11.578,3.909,3.909,10.031,13.153,37.643,30.688,39.44,18.433,26.485,32.078,81.281,48.55,113.681,81.71,146.24,182.914,44.657
"4","FRA","Booklet 01","5002","500203","50020319","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0,1,1,0,47.657,184.89,184.89,25.229,84.87,30.287,24.362,125.304,125.304,105.7,74.051,100.624,83.945,36.607,206.577,206.577,108.162,123.607,144.063,42.907,53.554,242.322,57.327,185.527,88.111,36.646,49.293,67.144,66.399,39.828,265.293
"5","FRA","Booklet 01","5003","500301","50030108","Male",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,71.765,79.13,79.13,24.081,16.767,30.644,16.539,96.478,96.478,25.341,45.186,24.62,16.419,26.142,68.555,68.555,47.333,28.091,33.449,48.453,37.738,35.912,64.236,41.87,49.37,24.406,38.248,68.418,16.327,52.324,75.081
"6","FRA","Booklet 01","5003","500301","50030124","Female",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,92.55,113.707,113.707,25.125,32.51,56.396,11.767,272.622,272.622,49.995,94.095,88.736,31.69,45.766,231.574,231.574,52.163,46.553,67.23,96.083,24.226,98.286,94.313,77.123,80.983,77.104,150.176,68.461,97.436,65.271,99.333
"7","FRA","Booklet 01","5004","500401","50040115","Female",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,71.272,304.788,304.788,27.846,71.464,96.392,29.456,347.585,347.585,80.477,145.821,231.933,182.689,36.073,472.777,472.777,134.148,56.464,200.569,40.873,41.751,47.441,12.04,38.696,31.646,NA,NA,NA,NA,NA,NA
"8","FRA","Booklet 01","5004","500404","50040404","Male",0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,146.422,75.729,75.729,38.542,65.999,121.799,34.189,125.116,125.116,44.005,75.063,246.818,72.36,30.975,228.427,228.427,88.006,81.586,335.793,31.846,152.068,47.148,132.014,20.75,84.106,18.916,63.607,131.822,59.333,28.653,116.709
"9","FRA","Booklet 01","5004","500404","50040420","Male",0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,186.707,111.057,111.057,23.127,27.101,31.385,38.168,270.168,270.168,51.317,136.279,67.824,37.3,37.741,246.104,246.104,84.7,45.064,161.558,57.751,104.966,35.724,75.307,200.246,102.594,40.207,133.989,66.598,79.968,62.287,104.282
"10","FRA","Booklet 01","5005","500503","50050306","Female",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,46.086,80.638,80.638,15.408,63.16,33.665,20.527,237.036,237.036,25.357,77.833,14.021,34.922,57.017,64.096,64.096,50.607,31.656,50.784,69.662,56.48,35.058,123.309,109.545,90.395,105.717,101.489,93.226,130.167,84.168,459.394
"11","FRA","Booklet 01","5005","500503","50050322","Male",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,10.755,48.309,48.309,14.32,30.162,22.474,10.039,82.937,82.937,13.163,19.447,56.722,13.275,21.508,61.624,61.624,56.339,16.96,72.455,34.37,49.918,17.21,40.403,17.868,88.415,11.31,66.074,31.468,94.045,44.614,82.82
"12","FRA","Booklet 01","5006","500601","50060105","Female",0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,100.529,77.986,77.986,43.556,32.397,21.36,19.673,197.929,197.929,31.489,145.598,148.261,182.723,63.457,150.488,150.488,67.686,36.234,83.043,81.704,77.641,62.803,48.634,212.435,85.668,59.441,69.762,100.339,61.35,64.906,42.216
