"","IDCNTRY","booklet_id","IDSCHOOL","IDCLASS","person_id","ITSEX","dum.fr","dum.eng","dum.hk","dum.kor","dum.qat","dum.nor","dum.twn","ME52024","ME52058A","ME52058B","ME52125","ME52229","ME52063","ME52072","ME52146A","ME52146B","ME52092","ME52046","ME52083","ME52082","ME52161","ME52418A","ME52418B","ME72007","ME72025","ME72017","ME72190","ME72068","ME72076","ME72056","ME72098","ME72103","ME72121","ME72180","ME72198","ME72227","ME72170","ME72209","ME52024t","ME52058At","ME52058Bt","ME52125t","ME52229t","ME52063t","ME52072t","ME52146At","ME52146Bt","ME52092t","ME52046t","ME52083t","ME52082t","ME52161t","ME52418At","ME52418Bt","ME72007t","ME72025t","ME72017t","ME72190t","ME72068t","ME72076t","ME72056t","ME72098t","ME72103t","ME72121t","ME72180t","ME72198t","ME72227t","ME72170t","ME72209t"
"1","FRA","Booklet 01","5001","500108","25050010809","Female",1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,-19.2839333333333,27.6635,27.6635,-41.1007,-20.4392,-14.9212,-47.2521333333333,80.4782,80.4782,-33.0737666666667,-10.2102333333333,14.8005666666667,-25.9055333333333,-14.0811,-2.34966666666666,-2.34966666666666,-12.0516333333333,-24.0310666666667,-15.6631333333333,-11.6899666666667,5.01696666666667,-39.2221,64.1195,-13.9674333333333,-43.6964333333333,-25.796,-19.2756666666667,-20.5859333333333,9.49956666666666,-18.3405,165.567
"2","FRA","Booklet 01","5001","500108","25050010825","Female",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,-32.4088333333333,10.6915,10.6915,-75.2601333333333,-6.81523333333334,-47.8427,-70.2949666666667,76.9529666666667,76.9529666666667,-71.2446,-10.3523333333333,-6.6499,-52.6549333333333,-59.6464666666667,155.908933333333,155.908933333333,240.6743,-39.3011666666667,-3.20993333333332,-47.6556666666667,-58.2545666666667,-41.3874666666667,15.8292333333333,25.5219,-8.35696666666668,-45.6324,-29.3553333333333,-41.2924,-24.261,-56.0856,58.8303666666667
"3","FRA","Booklet 01","5002","500203","25050020303","Male",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-26.7228,88.0226666666667,88.0226666666667,-40.9828,-40.4413333333333,11.8019333333333,-39.4090333333333,89.3649666666667,89.3649666666667,-32.1715666666667,92.0537,124.657433333333,-13.3845333333333,-62.8936,-70.8182333333333,-70.8182333333333,-64.4921666666667,-61.2661,-35.9597666666667,-43.1466,-34.1028666666667,-55.8101,-47.4897,-41.7102666666667,9.13283333333334,-24.6892,42.6128333333333,9.57613333333333,76.2571333333333,114.1536,-28.7119666666667
"4","FRA","Booklet 01","5002","500203","25050020319","Male",1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,0,1,0,1,1,0,-57.9896666666667,83.8177666666667,83.8177666666667,-81.1652666666667,-19.5362333333333,-75.9386666666667,-82.0611666666667,22.2455666666667,22.2455666666667,1.9881,-30.7158666666667,-3.25710000000001,-20.4920666666667,-69.408,106.227666666667,106.227666666667,4.53216666666667,20.492,41.6298666666667,-62.898,-51.8961,143.164166666667,-47.9973333333333,84.476,-16.1872,-69.3677,-56.2991333333333,-37.8531,-38.6229333333333,-66.0796333333333,166.900866666667
"5","FRA","Booklet 01","5003","500301","25050030108","Male",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,25.9209666666667,33.5314666666667,33.5314666666667,-23.3525,-30.9103,-16.5707333333333,-31.1459,51.4577333333333,51.4577333333333,-22.0505,-1.544,-22.7955333333333,-31.2699,-21.2228,22.6039666666667,22.6039666666667,0.674566666666664,-19.2088333333333,-13.6722333333333,1.8319,-9.24026666666667,-11.1271333333333,18.141,-4.97053333333334,2.77946666666666,-23.0166666666667,-8.71326666666667,22.4624,-31.3649666666667,5.83193333333333,29.3475
"6","FRA","Booklet 01","5003","500301","25050030124","Female",1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,-3.00423333333333,18.858,18.858,-72.6767333333333,-65.0455666666667,-40.3633666666667,-86.48,183.070166666667,183.070166666667,-46.9777333333333,-1.40773333333334,-6.94536666666666,-65.8929,-51.3477,140.6539,140.6539,-44.7374666666667,-50.5344666666667,-29.1682333333333,0.646533333333338,-73.6057,2.92296666666667,-1.18246666666667,-18.9454666666667,-14.9568,-18.9651,56.5426333333333,-27.8962,2.04463333333334,-31.1925333333333,4.00486666666666
"7","FRA","Booklet 01","5004","500401","25050040115","Female",1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","FRA","Booklet 01","5004","500404","25050040404","Male",1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,47.0669666666667,-25.9824666666667,-25.9824666666667,-64.4090333333333,-36.0368,21.6232,-68.9071333333333,25.0507666666667,25.0507666666667,-58.7639333333333,-26.6706666666667,150.8095,-29.4637666666667,-72.2282666666667,131.805466666667,131.805466666667,-13.2962333333333,-19.9302333333333,242.750333333333,-71.3282333333333,52.9011666666667,-55.5161666666667,32.1787,-82.7941,-17.3262333333333,-84.6892333333333,-38.5085333333333,31.9803,-42.925,-74.6276666666667,16.3635333333333
"9","FRA","Booklet 01","5004","500404","25050040420","Male",1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,84.7023,6.53063333333334,6.53063333333334,-84.3303666666667,-80.2239,-75.7971,-68.788,170.945333333333,170.945333333333,-55.2007,32.5933666666667,-38.1434666666667,-69.6849333333333,-69.2292333333333,146.0792,146.0792,-20.7049333333333,-61.6621333333333,58.715,-48.5522333333333,0.236599999999996,-71.3134666666667,-30.4110333333333,98.6926,-2.21446666666667,-66.6810333333333,30.2270333333333,-39.4103333333333,-25.5946666666667,-43.8650333333333,-0.470200000000006
"10","FRA","Booklet 01","5005","500503","25050050306","Female",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,-43.8175666666667,-8.11383333333333,-8.11383333333333,-75.5181666666667,-26.1744333333333,-56.6526,-70.2285333333333,153.497433333333,153.497433333333,-65.2375333333333,-11.0123333333333,-76.9514,-55.3537,-32.5222,-25.2072333333333,-25.2072333333333,-39.1458666666667,-58.7285666666667,-38.9629666666667,-19.4557,-33.0771,-55.2131666666667,35.9795333333333,21.7567333333333,1.96839999999999,17.8011333333333,13.4322,4.89376666666666,43.0661333333333,-4.46616666666667,383.267366666667
